attribute_set,attribute_group,frontend_label_0,attribute_code,frontend_label_1,description,frontend_input,options,note,is_global,is_filterable,is_required,default_value_text,is_unique,frontend_class,is_used_in_grid,is_searchable,search_weight,is_visible_in_advanced_search,is_filterable_in_grid,is_filterable_in_search,position,is_used_for_promo_rules,is_html_allowed_on_front,is_visible_on_front,used_in_product_listing,used_for_sort_by
Lenses,Special Effects Lenses,Lens Effect,lens_effect,,,Multiple Select,"Aperture Set, Fisheye, Bokeh, Macro, Flat Field Focus, Wide Angle, Pinhole, Optic Kit, Selective Focus, Soft Focus, Tilt/Shift",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
Lens Filters,Product Details,Filter Type,filter_type,,,Multiple Select,"Black & White Contrast, Clear Protection, Color Compensating, Cooling, Color Conversion, Fluorescent, Graduated, Neutral Density, Image Softening, Infrared, Tungsten, Warming, Polarizing, Special Effect, UV",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
Lens Filters,Product Details,Filter Size,filter_size,,,Dropdown,"25mm, 30.5mm, 49mm, 27mm, 36mm, 52mm, 28mm, 37mm, 55mm, 30mm, 58mm, 40.5mm, 62mm, 32.5mm, 43mm, 67mm, 34mm, 46mm, 72mm, 35mm, 77mm, 82mm, 105mm, 86mm, 114mm, 53mm, 95mm, 138mm, 100mm, 100mm Drop In, 145mm, 150mm",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,20,No,Yes,No,No,No
Lens Filters,Product Details,Features,lens_features,,,Multiple Select,"Multi-coated, Slim, Wide, IR Control, Extra-wide, Solar Photography Design",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,50,No,Yes,No,No,No
Lens Filters,UV / Clear & Skylight Filters,UV Type,uv_type,,,Dropdown,"UV (Standard), UV IR CUT, UV-15, UV-16, UV-17, UV 370, UV 395, UV 400, UV-410, UV-415, UV-Haze 2A, UV-Haze 2B, UV-Haze 2E, Warm UV, Warm UV-17",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,21,No,Yes,No,No,No
Lens Filters,Polarising Filters,Polarising Type,polarising_type,,,Dropdown,"Circular, Linear",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,21,No,Yes,No,No,No
Lens Filters,Polarising Filters,Polariser Combinations,polariser_combinations,,,Dropdown,"Plain Polarizers, Gold-Blue / Orange-Blue, w/ Neutral Density, w/ 81A, w/ 85, w/ 85B, w/ Warming, w/ Intensifying",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,31,No,Yes,No,No,No
Lens Filters,Neutral Density Filters,Density,density,,,Dropdown,"0.1 (0.3 stop), 0.15 (0.5 stop), 0.3 (1 stop), 0.2 (0.7 stop), 0.6 (2 stop), 0.9 (3 stop), 0.4 (1.3 stop), 1.2 (4 stop), 0.45 (1.5 stop), 1.5 (5 stop), 0.5 (1.6 stop), 1.8 (6 stop), 2.1 (7 stop), 0.7 (2.3 stop), 2.4 (8 stop), 0.75 (2.5 stop, 3.0 (10 stop), 0.8 (2.6 stop), 1.0 (3.3 stop), 2.0 (6.6 stop), 2.7 (9 stop), 3.3 (11 stop), 3.6 (12 stop), 3.9 (13 stop), 4.5 (15 stop), 4.8 (16 stop), 5.4 (18 stop), 6.0 (20 stop), 6.6 (22 stop), 7.2 (24 stop)",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,21,No,Yes,No,No,No
Lens Filters,Close Up Filters,Diopter Strength,diopter_strength,,,Multiple Select,"Sets, +1/4, +1/2, +1, +2, +3, +4, +5, +10",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,21,No,Yes,No,No,No
Lens Filters,Drone Filters,Works With,drone_filter,,,Multiple Select,"Mavic 2 Pro, Mavic 2 Zoom, Mavic Air, Mavic Pro, Phantom 4, Phantom 4 Pro, Phantom 4 Pro+, Spark, Inspire 1, Inspire 2, Phantom 3 Professional, Phantom 3 Advanced, Phantom 3 4K, Phantom 3 Standard, Zenmuse X3, Zenmuse X4S, Zenmuse X5, Zenmuse X5R, Zenmuse X5S, Zenmuse Z3, Zenmuse X7",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,21,No,Yes,No,No,No
